항목,제목,세부인정사항
일반사항,2가지 이상의 수술시 수기료 산정방법,"1. 동일 절개 하에서 2가지 이상 수술을 동시에 시술한 경우 주된 수술이란 2가지 이상 수술 중 소정점수가 높은 수술을 기준으로 함. 이 경우 ‘소정점수’이란 ｢건강보험 행위 급여·비급여 목록표 및 급여 상 대가치점수｣ 제1편 제2부 제9장 제1절 처치 및 수술료 등의 각 분류항목에 기재된 소정점수을 말함. 2. 동일 피부 절개하에 해당과를 달리하여 각각 다른 병변을 수술한 경우, 진료전문과목이 다르더 라도 동일 마취하에 연속하여 수술을 하는 것이므로 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대 가치점수｣ 제1편 제2부 제9장 제1절 처치 및 수술료 등[산정지침] (5)항에 의거 주된 수술 100%, 그외 수술 50%[종합병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2018-281호, ’19.1.1. 시행)"
일반사항,동일 피부 절개 하에 2가지 이상 수술시 수가 산정방법,"건강보험 행위 급여·비급여 목록표 및 급여 상대 가치점수 제1편 제2부 제9장 처치 및 수술료 등 [산정 지침] (5)항에 의거 종합병원(상급종합병원 포함)의 경우 동일 피부 절개하에 2가지 이상 수술을 동시에 시술한 경우 제2의 수술부터는 해당 수술 소정점수의 70%를 산정토록 되어 있음. 이 때, 2가지 이상 수술이란 서로 다른 수술로 별도 소정점수의 산정이 가능한 경우를 의미함. (고시 제2016-204호, ’16.11.1. 시행)"
일반사항,동일 피부 절개 하 동일 수술을 여러 부위에 하는 경우 수가 산정방법,"동일 피부 절개(또는 동일 경로) 하 동일 수술을 여러 부위에 하는 경우는 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수｣ 제1편 제2부 제9장 처치및수술료 [산정지침] (5)에 적용되지 않는 사항으로, 제1 부위는 100%, 제2부위부터는 50% 산정을 원칙으로 함. 다만, 최대산정범위 및 산정방법에 대해 별도 고시가 있는 경우에는 해당 고시를 적용함 (고시 제2017-118호, ’17.7.1. 시행)"
일반사항,Arterial Cannulation의 Irrigation시 수기료 산정방법,"Arterial Cannulation의 Irrigation수기료는 해당 처치 또는 수술료에 포함하여 별도 인정하지 아니함. (고시 제2000-73호, ’01.1.1. 시행)"
자49 추간판제거술 [척추후궁 절제술포함],"동일 피부 절개 하에 추간판제거술,후방고정술 및 후방추체 유합술(PLIF)을 동시 실시시 수가 산정방법","1. 후방 도달법으로 동일 피부 절개 하에 추간판제거술, Pedicle screw와 Rod를 이용한 후방고정술(PLF)및 자가골 또는 Cage를 이용한 후방추체유합술 (PLIF)을 동시에 실시한 경우에 척추고정술은 절개 approach을 기준으로 1회만 산정함. 2. 이 경우 자49 추간판제거술과 자46나 척추후방 고정술의 소정점수를 산정하되 「건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수」 제1편 제2부 제9장 제1절 처치 및 수술료 [산정지침] (5)에 의거 주된 수술 100%, 그 외 수술 50%[종합 병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2021-183호, ’21.7.1. 시행)"
자49-1 척추후궁 절제술,Hemilaminectomy 또는 Total Laminectomy의 수가 산정방법,"Hemilaminectomy 또는 Total Laminectomy는 자49-1 척추후궁절제술의 해당부위의 소정점수를 산정하되 제1후궁은 소정점수의 100%, 제2후궁부터는 소정점수의 50%를 산정하되 최대 200%까지 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자60 사지골절 관혈적정복술,Trimalleolar Fracture의 관혈적정복술시 수가 산정방법,"Trimalleolar Fracture의 관혈적 정복술은 자60가 (4)(다) 사지골절정복술 [복잡골절 포함]-관혈적 -하퇴골-경비골동시 소정점수의 100%와 자60가 (4)(가) 사지골절정복술 [복잡골절 포함]-관혈적 -하퇴골-경골 소정점수 50%[종합병원(상급종합 병원 포함)의 경우 70%]를 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자60 사지골절 관혈적정복술,뼈전이암에 이차적으로 발생할 수 있는 임박병적골절(Impe nding pathologic fractures)에 실시한 자60 사지골절정복술 급여기준 및 수가 산정방법,"뼈전이암에 이차적으로 발생할 수 있는 임박병적골절 (Impending pathologic fractures)에 실시한 사지 골절정복술은 자60 사지골절정복술 소정점수의 50%를 산정하며, 다음 중 어느 하나에 해당하는 경우 요양 급여를 인정함. - 다 음 - 가. 대퇴 근위부의 2.5cm 이상의 병변이 있는 경우 나. 병변이 피질골의 50% 이상을 파괴한 경우 다. 소전자부의 병적 견열 골절이 있는 경우 라. 방사선 치료에도 불구하고 지속되는 통증이 있는 경우 마. 병적 골절의 예측을 위한 점수(Mirel‘s score) 8점 이상인 경우 (고시 제2019-315호, ’20.1.1. 시행)"
자64 사지골절 도수정복술,슬개골도수정복술 (Patella Closed Reduction) 수가산정방법,"슬개골도수정복술(Patella Closed Reduction)은 자64라 사지골절도수정복술-수근골, 족근골의 소정 점수로 준용하여 산정함.(고시 제2023-56호, ’23.3.29. 시행)"
자70 사지관절 절제술[활막절제를 포함],관절경하 활액막절제술 (Synovectomy)의수가 산정방법,"관절경하 활액막절제술(Synovectomy)은 자70 사지관절절제술 [활막절제를 포함] 해당부위별 소정 점수를 산정하고 관절경하 수술시 사용된 생리식염수는총사용량이 500㎖이상인 경우에 한하여 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자71 인공관절 치환술,자71가(1) 인공관절치환술- 전치환-고관절시 실시한 내전근 절단술 (Adductor Tenotomy) 수가 산정방법,"자71가(1) 인공관절치환술-전치환-고관절시 탈구방지를 위해 별도의 피부절개로 내전근 절단술 (Adductor Tenotomy)을 실시한 경우에는 자71가 (1)의 소정점수와 자91 건, 인대 피하단열수술 소정점수의 50%[종합병원(상급종합병원 포함)의 경우 70%]를 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자90 갱그리온 적출술,활액낭절제술 (Bursectomy)의 수기료 산정방법,"활액낭절제술(Bursectomy)은 해부학적 위치와 수술의 난이도 등을 감안하여 자90 갱그리온적출술 소정점수로 준용하여 산정함. (고시 제2007-46호, ’07.6.1. 시행)"
견봉성형술 및 회전근개 파열복원술,자93-1 견봉성형술 및 회전근개 파열복원술과 동시 시행한 원위쇄골절제술 (Distal clavicle resection) 산정방법,"자93-1 견봉성형술 및 회전근개 파열복원술과 동시 시행한 원위쇄골절제술(Distal clavicle resection)은 자51 쇄골절제술 소정점수의 50%[종합병원(상급 종합병원 포함)은 70%]로 산정하되, 원위쇄골 상부까지 완전 절제한 경우에 한하며 다음에 해당하는 경우 산정함. - 다 음 - 가. 수술 전 시행한 신체검사(압박 테스트(Compression test), Lidocaine test 등)에서 견봉-쇄골 관절의 압통 등의 소견이 확인되며, 영상검사로 단순 방사선 사진과 자기공명영상검사(MRI) 등에서 견봉-쇄골 관절의 관절염 소견이 확인되는 경우 나. 수술 전 시행한 자기공명영상검사(MRI) 또는 수술 중 관절경 소견 상 견봉-쇄골 관절 주위의 골극이나 원위 쇄골의 골극 또는 원위 쇄골에 의한 회전근개의 충돌이 확인되는 경우 (고시 제2021-323호, ’22.1.1. 시행)"
자163 혈관성형술,"상행대동맥 (Ascendingaorta)에 Reduction aortoplasty, Wrapping 또는 Reduction aortoplasty & wrapping 을 타 심장 수술과 동시 실시 시 수가 산정방법","동맥류절제술의 적응증에 해당되지는 않으나 직경이 정상보다 확장되어 있는 상행대동맥에 Reduction aortoplasty, Wrapping 또는 Reduction aortoplasty & wrapping을 동일 피부 절개하에 타 심장수술과 동시 실시한 경우 다음과 같이 준용하여 산정함. -다 음- 가. 늘어난 대동맥 조직을 잘라내고 다시 봉합 하여 대동맥의 직경을 줄여주는 Reduction aortoplasty를 실시한 경우 : 자163가(3) 혈관성형술(직접봉합)-기타 소정 점수의 100%를 산정함. 나. 늘어난 대동맥의 추가 확장을 막기 위해 인조 물질(인조혈관 등)을 이용하여 360도 감싸주는 Wrapping을 실시한 경우 : 자163나(3)(가) 혈관성형술(팻취를 이용한 경우)-기타(인조혈관이용) 소정점수의 100%를산정함. 다. 상기 가.와 나.를 동시에 시행한 경우 : 자163가(3) 혈관성형술(직접봉합)-기타와 자163나(3)(가) 혈관성형술(팻취를 이용한 경우)-기타(인조혈관이용) 소정점수의 100%를 각각 산정함. 라. 다만, 동맥류절제술 등 주된 수술 시 혈관 문합 부위에 wrapping을 시행한 경우에는 별도 산정 하지 아니함. (고시 제2020-163호, ’20.8.1. 시행)"
자165 중심정맥내카 테터유치술,터널식 또는 피하매몰 정맥포트법으로 삽입한 중심정맥내카테터 제거시 수기료 산정방법,"터널식 또는 피하매몰 정맥포트법으로 삽입한 중심 정맥내 카테터 제거시 수기료는 자165-나(3) 소정점수의 50%를 준용 산정함. (고시 제2007-77호, ’07.8.30. 시행)"
자201-1 인공신장 투석을 위한 동정맥루의 교정술,동정맥루 폐색(AVF Obstruction) 상병 등에 혈전제거술 시행시 수기료 산정방법,"AVF(or AV graft) Obstruction에 혈관을 절개하여 다음과 같은 방법으로 혈전제거술 시행시 수기료는 자201-1 인공 신장투석을 위한 동정맥루의 교정술로 산정함. - 다 음 - 가. Catheter를 사용하지 않고 절개 후 혈전을 제거한 경우 나. Fogarty Catheter 등을 이용하여 혈전을 제거한 경우 다. 혈전제거술 및 동정맥루 절편(동맥내막제거 포함)을 제거한 경우 라. 혈전제거술 및 풍선혈관(혹은 patch) 성형술을 시행한 경우 마. 혈전제거술과 동정맥루절편(동맥내막제거 포함)의 제거 및 풍선혈관(또는 patch) 성형술을 시행한 경우 (고시 제2009-180호, ’09.10.1. 시행)"
자205 사지정맥류국 소치료 자206 광범위정맥류 발거술,자205 사지정맥류 국소치료 및 자206 광범위정맥류발거술의 수가산정방법,"하지정맥류 상병에 실시하는 자205 사지정맥류 국소 치료 및 자206 광범위정맥류발거술의 수가산정방법은 다음과 같이 함. - 다 음 - 가. 광범위정맥류 발거술은 국소치료를 포함하는 수가이므로, 동측에 자206 광범위정맥류 발거술과 동시 또는 14일 이내에 잔여정맥류에 대하여 자205 사지정맥류국소치료(가.경화요법 또는 나.국소제거술)을 시행하더라도 자206 광범위 정맥류발거술만 인정함. 나. 광범위 정맥류 발거술 또는 사지정맥류 국소치료 후 14일을 초과하여 동측에 사지정맥류국소치료를추가 시행하는 경우 자205 사지정맥류국소치료의 소정점수를 1회에 한하여 추가 산정함. (고시 제2009-96호, ’09.6.1. 시행)"
자205-1 혈전제거술,자205-1다 혈전제거술- 심장의 수가산정방법,"1. 자-205-1다. 혈전제거술-심장은 수술 전 진단 또는 약물치료에 반응하지 않는 경우 등 외과적 방법으로 혈전 제거가 필요하다고 판단되어 시행한 경우 산정함. 2. 여러 부위에서 혈전을 제거한 경우 혈전 발생 위치, 개수를 불문하고 해당 소정점수만 산정함. 3. 자-182-1 좌심실류절제술, 자-188-1 심실 보조장치 치료술, 자-200-1 부정맥수술 등 수술 시 혈전 제거가 해당 행위 일련의 과정으로 시행 되는 경우에는 별도 산정하지 아니함. (고시 제2020-269호, ’20.12.1. 시행)"
자207 혈관결찰술,외상으로 인한 사지말단 부위 혈관(요·척골 또는 경·비골 동맥 이하) 손상의 단단문합술 시행시 수가산정방법,"외상으로 인한 사지말단 부위에 있는 혈관(요·척골 또는 경·비골 동맥 이하) 손상으로 동일 절개 하 단단문합술 (end-to-end anastomosis)을 시행한 경우에는 자207다 혈관결찰술(기타) 소정점수를 산정하되, 동시에 여러 개의 혈관을 봉합하는 경우에는 첫 번째 혈관은 소정 점수의 100%를, 두 번째 혈관부터는 소정점수의 50%씩 산정함. (고시 제2010-115호, ’11.1.1. 시행)"
자211 경부림프절 청소술,중앙구역 경부림프절 청소술(Central compartment neck dissection) 수가 산정방법,"미국두경부학회(American Head and Neck Society, AHNS)의 경부림프절 구역 분류 중 Level Ⅵ 중앙구역에 대해 선택적 경부림프절 청소술을 실시한 경우에는 자211가(3) 경부림프절청소술-편측(선택적) 소정점수를 산정함. (고시 제2020-19호, ’20.2.1. 시행)"
자293 직장탈 교정술,"Rectal carcinoma, Rectal prolapse, Benign rectal tumor, Liomyoma에 대하여 Electrofulguration을 실시할 경우 수기료 산정방법","Rectal carcinoma, Rectal prolapse, Benign rectal tumor, Leiomyoma에 대하여 Electrofulguration을 실시할 경우 수기료는 자293가(1) 직장탈 교정술(경화 요법)으로 인정하고 통상 1-2차에 걸쳐 시술하는 경우가 대부분이므로 2차 이상을 실시하여도 2회이내만 산정함을 원칙으로 하되, rectal cancer에 실시하는 electrofulguration은 3회 이상 시술이 불가피한 경우 사례별로 인정토록 함. (고시 제2008-80호, ’08.8.1. 시행)"
자413 자궁질상부 적출술,자궁경부절제술 (transvaginal trachelectomy) 수기료 산정방법,"자궁경부절제술(trachelectomy)은 시술방법(복강경, 질부접근 등) 불문하고 자413 자궁질상부절단술(subtotal hysterectomy) 소정점수에 준용하여 산정함. (고시 제2007-46호, ’07.6.1. 시행)"
자451 제왕절개 만출술,쌍각자궁에 제왕절개만출술과 Hysterectomy 동시 실시시 수가 산정방법,"쌍각자궁(Bicornate Uterus)으로 제왕절개만출술을 시행하면서 Small Uterus를 Hysterectomy한 경우 수기료는 자451 제왕절개만출술과 자417 기형자궁 성형술을 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수｣ 제1편 제2부 제9장 제1절 처치 및 수술료 [산정지침] (5)에 의거 주된 수술 100%, 그외 수술 50%[종합병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2018-281호, ’19.1.1. 시행)"
자461 신경절단술,"동일 피부 절개하에 Adductor Tenotomy, Obturator Neurectomy 수가 산정방법","뇌성마비 상병에 동일 피부 절개하에 Adductor Tenotomy와 Obturator Neurectomy를 동시 실시시 자461 신경절단술 소정점수 100%와 자91 건·인대 피하 단열수술 소정점수의 50%[종합병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2014-126호, ’14.8.1. 시행)"
자462 혈종제거를 위한 개두술,동일 피부절개하에 양측부위의 혈종제거를 위한 개두술 수가 산정방법,"동일 피부절개하에 양측 F-T-P(Fronto- Temporo -Parietal) 부위의 경막외 혈종(Epidural Hematoma) 제거술은 자462가 혈종제거를 위한 개두술(경막외) 소정점수의 150%로 산정함. (고시 제2007-46호, ’07.6.1. 시행)"
자573 미로절제술,메니에르 상병에 실시한 Chemical Labyrinthectomy 인정횟수,"메니에르상병에 약물이 가지는 독성을 이용하여 전정 기관의 기능을 소멸시키는 방법인 화학적 미로절제술 (Chemical Labyrinthectomy)은 자573다 미로절제술 (약물주입을 이용한 것) 소정점수로 시술횟수 불문하고 1회만 산정함. (고시 제2007-46호, ’07.6.1. 시행)"
중재적 방사선시술,경피적 풍선혈관성형술 등 중재적시술시 방사선료 산정방법,"경피적풍선확장술 등 중재적 방사선시술시 ‘주’에 명시된 ‘별도 산정할 수 없는 방사선료’는 수술이 시도된 해당 혈관에 행한 방사선료를 의미함. (고시 제2000-73호, ’01.1.1. 시행)"
자659 경피적풍선 혈관성형술,자659 경피적풍선혈관성형술 (PTA)시 실패한 경우의 수가 산정방법,"자659 경피적 풍선혈관성형술(PTA)시 Guiding Catheter와 Guide Wire가 병소를 통과하지 못한 경우의 수가 산정 방법은 자659 경피적 풍선혈관성형술(PTA) 소정점수의 50%로 산정함. (주수술인 경우 주수술 소정점수의 50%, 부수술인 경우 부수술 소정점수의 50%) (고시 제2019-315호, ’20.1.1. 시행)"
자663 경피적 혈전제거술,자663가(4) 경피적 혈전제거술(혈전 용해술)-기타혈관 실시 익일 후 이미 확보된 경로로 실시한 중재적 시술수가 산정방법,"자663가(4)경피적 혈전제거술(혈전용해술)-기타혈관 실시 후 잔여 협착이 있거나, 약물에 의한 혈전 용해술 만으로 혈전의 제거가 어려워 익일 이후 이미 확보된 경로로 자659마 경피적풍선혈관성형술 또는 자660마 경피적 혈관내 금속스텐트삽입술, 자663나(4)경피적 혈전제거술(기계적혈전제거술)을 실시한 경우 수가산정방법은 다음과 같이 함. - 다 음 - 가. 자663가(4)경피적 혈전제거술(혈전용해술)- 기타혈관 100%, 자659마 경피적 풍선혈관 성형술-기타혈관 또는 자660마 경피적 혈관내 금속스텐트 삽입술-기타혈관 50%(상급종합 병원·종합병원은 70%)를 산정함. 나. 다만, 자663가(4)경피적 혈전제거술(혈전용해술)- 기타혈관 후 자663나(4) 경피적 혈전제거술(기계적 혈전제거술) [카테터법]-기타혈관을 실시하고 자659마 경피적 풍선혈관성형술-기타혈관 또는 자660마 경피적 혈관내 금속스텐트 삽입술-기타 혈관을 실시한 경우 자663나(4) 경피적 혈전제거술 (기계적 혈전제거술) [카테터법]-기타혈관은 별도 산정하지 아니함. (고시 제2020-19호, ’20.2.1. 시행)"
자668 경피적담도 협착확장술,Both Hepatic Duct에 Stent 삽입시 수기료 산정방법,"Both Hepatic Duct에 Stent 삽입시 수기료는 다음과 같이 산정함. - 다 음 - 가. 동일한 root를 이용한 경우 : 자668나 경피적담도협착확장술(스텐트에 의한 것) 또는 자777가(2) PTBD route 또는 T- tube을 이용한 담관확장술(스텐트삽입) 소정점수의 100%와 50%로 산정 나. 각각의 root를 이용한 경우 : 자668나 경피적담도협착확장술(스텐트에 의한 것) 또는 자777가(2) PTBD route 또는 T- tube을 이용한 담관확장술(스텐트삽입) 소정점수를 각각 산정 다. 역행성담췌관 내시경하 (ERCP) 양측 Hepatic Duct 스텐트 삽입술 : 자776다 역행성 담췌관 내시경수술[내시경적담(췌) 관협착확장술] 소정점수의 100%와 50%로 산정 (고시 제2007-46호, ’07.6.1. 시행)"
자677 경피적경화술,혀의 Hemangioma상병에 Alcohol Injection 시 수기료 산정방법,"혀의 Hemangioma상병에 Direct Alcohol Injection한 시술은 자677가(1)(나)경피적 경화술(단순천자법에 의한 것-두경부-혈관기형) 소정점수로 산정함. (고시 제2007-139호, ’08.1.1. 시행)"
자738 담낭절제술,담도결석시 담낭절제를 시행하고 Sphincteroplasty 및 담도장문합술을 시행하였을 경우의 수가 산정방법,"담도결석시 담낭절제를 시행하고 Sphincteroplasty 및 담도장문합술을 시행하였을 경우에는 자738 담 낭절제술의 소정점수와 자742 오디씨괄약근 절개 및 성형술 또는 자735 담도장문합술 소정점수의 50%[종합병원(상급종합병원 포함)은 70%]를 산 정함. 이 경우 오디씨괄약근 절개 및 성형술과 담도 장문합술은 동시에 산정할 수 없음. (고시 제2023-56호, ’23.3.29. 시행)"
가19 항암화학 요법 부작용 및 반응평가료,항암화학요법 부작용 및 반응평가료 (Fee for Chemotherapy and Side Effects/ Response Evaluation) 급여기준,"항암화학요법 부작용 및 반응평가료는 아래와 같은 요건을 모두 충족한 경우 인정함. 가. 급여대상 1) ｢본인일부부담금 산정특례에 관한 기준｣에 의한 산정특례 대상 중 등록 암환자(V193) 2) 해당 상병(C00~C97, D00~D09, D32~D33, D37~D48) 대상 중 산정특례 등록을 하지 않은 환자 나. 산정기준 (1) 항암화학요법 시행 전 치료를 계획하고, 투여 전 용법, 부작용, 기타 유의점이 담긴 문서를 환자 또는 보호자에게 제공 및 설명 후 동의서를 받아야 하며, 부작용 및 반응평가의 평가내용 및 결과를 진료기록부에 기재하여야 함. (2) 부작용평가는 NCI-CTC를 기준으로 실시하며, 종양반응평가는 평가도구(WHO, RECIST,IPSS Criteria), 유전학적․세포학적 반응평가 등을 이용하여 실시함. 다. 산정횟수 동일 항암화학요법당 부작용평가, 종양반응평가시 각각 1회만 산정함. * NCI-CTC=National Cancer Institute's Common Toxicity Criteria * WHO=World Health Organization * RECIST=Response Evaluation Criteria in Solid Tumor * IPSS=International Prognostic Scoring System (고시 제2020-241호, ’20.10.28. 시행)"
일반사항,장폐색 환자에게 실시하는 장폐색 방사선 검사 (G-I Obstruction Series) 산정방법,"장폐색환자에게 흔히 사용되는 진단방법인 Supine, Erect, Translateral의 복부방사선촬영을 편리하게 통합하여 실시하는 장폐색 방사선 검사(G-I Obstruction Series)는 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수｣ 제1편 제2부 제3장 제1절 방사선단순 영상진단료 해당항목의 소정점수로 산정함. (고시 제2018-281호, ’19.1.1. 시행)"
일반사항,"디지털감산혈관조영술 (DSA)시 수기료, 재료대 및 Digital 처리비용에 대한 진료수가 산정방법","디지털감산혈관조영술(Digital Subtraction Angiography, D.S.A.)은 정맥 또는 동맥으로 조영제를 주입하여 동시에 많은 동맥혈관을 관찰, 진단하는 검사이므로 수기료는 방사선특수영상진단의 해당 소정금액을 산정 하고 이에 소요된 카테타, 조영제, 필름, G- Wire의 비용은 약제 및 치료재료의 비용에 대한 결정기준에 의거 별도 산정하며, 동 시술시 Digital 처리비용은 CR 영상처리에 대한 보상의 성격으로, CR영상처리에 대한 보상이 30% 가산에서 정액가산으로 변경된 것과 동일하게 정액으로 산정하는 것이 타당함. (고시 제2016-204호, ’16.11.1. 시행)"
